iter	Passed	Remaining
869	13791	17913
870	13808	17899
871	13825	17884
872	13842	17870
873	13859	17855
874	13873	17837
875	13888	17820
876	13903	17803
877	13921	17790
878	13937	17774
879	13952	17757
880	13967	17740
881	13982	17723
882	13997	17707
883	14013	17690
884	14028	17674
885	14045	17659
886	14061	17643
887	14076	17627
888	14091	17610
889	14106	17593
890	14122	17577
891	14138	17562
892	14153	17545
893	14171	17532
894	14187	17516
895	14203	17501
896	14221	17487
897	14236	17470
898	14251	17454
899	14267	17438
900	14285	17424
901	14300	17408
902	14316	17392
903	14332	17377
904	14348	17360
905	14363	17343
906	14378	17326
907	14394	17310
908	14408	17293
909	14424	17277
910	14439	17260
911	14454	17244
912	14470	17228
913	14486	17212
914	14501	17195
915	14516	17179
916	14532	17163
917	14547	17146
918	14562	17129
919	14579	17114
920	14594	17098
921	14609	17081
922	14624	17064
923	14638	17046
924	14655	17031
925	14669	17014
926	14684	16997
927	14700	16981
928	14714	16963
929	14729	16946
930	14746	16931
931	14761	16916
932	14778	16901
933	14793	16884
934	14810	16869
935	14825	16853
936	14841	16837
937	14855	16819
938	14871	16803
939	14887	16787
940	14902	16771
941	14917	16754
942	14934	16739
943	14950	16724
944	14965	16707
945	14980	16691
946	14996	16675
947	15011	16658
948	15026	16641
949	15042	16625
950	15058	16609
951	15073	16593
952	15089	16577
953	15103	16560
954	15119	16543
955	15134	16527
956	15150	16511
957	15166	16496
958	15180	16478
959	15195	16462
960	15212	16446
961	15228	16431
962	15244	16415
963	15259	16399
964	15275	16384
965	15289	16365
966	15305	16349
967	15320	16333
968	15337	16318
969	15353	16302
970	15367	16285
971	15382	16268
972	15398	16253
973	15416	16239
974	15432	16223
975	15447	16207
976	15462	16190
977	15477	16173
978	15493	16157
979	15509	16142
980	15526	16127
981	15541	16111
982	15557	16095
983	15573	16079
984	15589	16064
985	15604	16047
986	15620	16032
987	15636	16015
988	15651	15999
989	15667	15983
990	15682	15967
991	15697	15950
992	15711	15932
993	15726	15916
994	15743	15902
995	15758	15884
996	15773	15868
997	15790	15853
998	15806	15837
999	15822	15822
1000	15837	15805
1001	15853	15789
1002	15868	15773
1003	15882	15756
1004	15897	15739
1005	15913	15724
1006	15928	15707
1007	15944	15691
1008	15959	15674
1009	15974	15658
1010	15990	15642
1011	16006	15626
1012	16021	15610
1013	16036	15593
1014	16050	15576
1015	16066	15560
1016	16082	15544
1017	16098	15528
1018	16114	15513
1019	16129	15497
1020	16146	15482
1021	16161	15465
1022	16176	15448
1023	16192	15433
1024	16207	15416
1025	16223	15401
1026	16238	15385
1027	16255	15369
1028	16269	15352
1029	16285	15336
1030	16301	15321
1031	16315	15303
1032	16329	15285
1033	16345	15270
1034	16361	15254
1035	16377	15238
1036	16392	15222
1037	16407	15205
1038	16422	15189
1039	16438	15174
1040	16455	15158
1041	16471	15143
1042	16485	15126
1043	16500	15110
1044	16516	15093
1045	16533	15079
1046	16548	15062
1047	16563	15046
1048	16578	15029
1049	16595	15015
1050	16611	14999
1051	16627	14984
1052	16642	14967
1053	16657	14950
1054	16672	14934
1055	16688	14918
1056	16704	14902
1057	16719	14886
1058	16734	14869
1059	16749	14853
1060	16765	14837
1061	16780	14821
1062	16796	14805
1063	16814	14791
1064	16829	14775
1065	16844	14759
1066	16860	14743
1067	16876	14727
1068	16893	14712
1069	16907	14695
1070	16922	14678
1071	16937	14662
1072	16952	14646
1073	16967	14629
1074	16984	14614
1075	17000	14599
1076	17015	14582
1077	17030	14565
1078	17047	14551
1079	17064	14536
1080	17082	14522
1081	17101	14509
1082	17121	14496
1083	17139	14483
1084	17157	14469
1085	17174	14454
1086	17192	14440
1087	17209	14426
1088	17227	14411
1089	17245	14397
1090	17263	14383
1091	17282	14370
1092	17300	14356
1093	17320	14344
1094	17339	14330
1095	17356	14315
1096	17373	14301
1097	17390	14286
1098	17409	14272
1099	17428	14259
1100	17448	14247
1101	17467	14233
1102	17486	14220
1103	17506	14207
1104	17524	14193
1105	17541	14179
1106	17558	14164
1107	17577	14150
1108	17593	14134
1109	17608	14118
1110	17625	14103
1111	17646	14091
1112	17662	14076
1113	17676	14058
1114	17693	14043
1115	17712	14030
1116	17729	14015
1117	17747	14000
1118	17762	13984
1119	17780	13970
1120	17797	13955
1121	17814	13940
1122	17832	13925
1123	17848	13910
1124	17863	13893
1125	17878	13877
1126	17895	13861
1127	17910	13845
1128	17925	13829
1129	17941	13813
1130	17955	13795
1131	17969	13778
1132	17986	13763
1133	18001	13747
1134	18017	13731
1135	18031	13714
1136	18047	13698
1137	18062	13682
1138	18078	13665
1139	18094	13650
1140	18109	13633
1141	18125	13617
1142	18140	13601
1143	18155	13584
1144	18171	13569
1145	18187	13553
1146	18203	13537
1147	18218	13521
1148	18233	13504
1149	18249	13488
1150	18263	13471
1151	18279	13455
1152	18295	13440
1153	18312	13424
1154	18327	13408
1155	18342	13391
1156	18357	13375
1157	18371	13358
1158	18387	13342
1159	18404	13327
1160	18420	13311
1161	18437	13296
1162	18452	13280
1163	18470	13265
1164	18484	13248
1165	18499	13232
1166	18515	13216
1167	18531	13200
1168	18547	13184
1169	18563	13168
1170	18579	13153
1171	18595	13137
1172	18610	13120
1173	18626	13104
1174	18642	13089
1175	18659	13074
1176	18674	13058
1177	18689	13041
1178	18704	13025
1179	18719	13008
1180	18734	12992
1181	18751	12976
1182	18767	12961
1183	18782	12944
1184	18797	12928
1185	18813	12912
1186	18829	12896
1187	18844	12880
1188	18860	12864
1189	18875	12847
1190	18890	12831
1191	18905	12815
1192	18921	12799
1193	18938	12784
1194	18953	12768
1195	18970	12752
1196	18985	12736
1197	19000	12720
1198	19016	12703
1199	19030	12687
1200	19045	12670
1201	19061	12654
1202	19077	12638
1203	19091	12621
1204	19106	12605
1205	19121	12588
1206	19137	12573
1207	19153	12557
1208	19168	12540
1209	19183	12524
1210	19198	12508
1211	19214	12492
1212	19230	12476
1213	19246	12461
1214	19262	12445
1215	19278	12429
1216	19294	12413
1217	19309	12397
1218	19325	12381
1219	19340	12365
1220	19357	12350
1221	19373	12334
1222	19387	12317
1223	19403	12301
1224	19418	12284
1225	19435	12269
1226	19449	12253
1227	19467	12238
1228	19482	12222
1229	19498	12206
1230	19513	12189
1231	19529	12174
1232	19545	12158
1233	19561	12142
1234	19576	12126
1235	19592	12110
1236	19608	12094
1237	19625	12079
1238	19641	12063
1239	19657	12048
1240	19674	12032
1241	19690	12017
1242	19705	12001
1243	19721	11984
1244	19737	11969
1245	19752	11953
1246	19768	11937
1247	19783	11920
1248	19800	11905
1249	19815	11889
1250	19830	11872
1251	19844	11855
1252	19858	11839
1253	19874	11823
1254	19891	11807
1255	19907	11792
1256	19923	11776
1257	19938	11760
1258	19953	11744
1259	19970	11728
1260	19986	11713
1261	20002	11697
1262	20018	11681
1263	20034	11665
1264	20049	11649
1265	20064	11632
1266	20079	11616
1267	20094	11600
1268	20111	11584
1269	20125	11568
1270	20140	11551
1271	20155	11535
1272	20172	11520
1273	20187	11503
1274	20202	11487
1275	20217	11471
1276	20231	11454
1277	20246	11438
1278	20262	11422
1279	20279	11406
1280	20295	11391
1281	20311	11375
1282	20328	11360
1283	20344	11344
1284	20358	11327
1285	20374	11311
1286	20390	11296
1287	20405	11280
1288	20421	11264
1289	20437	11248
1290	20452	11232
1291	20467	11215
1292	20481	11199
1293	20496	11182
1294	20512	11166
1295	20528	11151
1296	20545	11136
1297	20561	11120
1298	20575	11103
1299	20590	11087
1300	20605	11070
1301	20620	11054
1302	20637	11039
1303	20653	11023
1304	20669	11007
1305	20683	10991
1306	20700	10975
1307	20715	10959
1308	20731	10943
1309	20747	10928
1310	20763	10912
1311	20779	10896
1312	20795	10880
1313	20810	10864
1314	20827	10849
1315	20841	10832
1316	20857	10816
1317	20879	10804
1318	20896	10789
1319	20915	10774
1320	20933	10760
1321	20947	10743
1322	20964	10727
1323	20984	10713
1324	21000	10698
1325	21017	10682
1326	21032	10666
1327	21048	10651
1328	21066	10636
1329	21084	10621
1330	21103	10607
1331	21118	10590
1332	21133	10574
1333	21150	10559
1334	21165	10543
1335	21184	10529
1336	21202	10514
1337	21218	10498
1338	21234	10482
1339	21251	10467
1340	21268	10451
1341	21284	10436
1342	21300	10420
1343	21317	10404
1344	21334	10389
1345	21349	10373
1346	21365	10357
1347	21381	10341
1348	21397	10325
1349	21412	10309
1350	21427	10293
1351	21442	10277
1352	21458	10261
1353	21475	10246
1354	21491	10230
1355	21508	10214
1356	21526	10200
1357	21545	10185
1358	21563	10171
1359	21582	10156
1360	21602	10142
1361	21619	10127
1362	21637	10112
1363	21657	10098
1364	21673	10082
1365	21686	10065
1366	21703	10050
1367	21719	10034
1368	21738	10019
1369	21756	10004
1370	21771	9988
1371	21786	9972
1372	21801	9955
1373	21816	9939
1374	21833	9924
1375	21849	9908
1376	21866	9893
1377	21882	9877
1378	21897	9860
1379	21913	9845
1380	21929	9829
1381	21945	9813
1382	21960	9797
1383	21975	9781
1384	21992	9765
1385	22008	9750
1386	22025	9734
1387	22040	9718
1388	22056	9702
1389	22071	9686
1390	22087	9670
1391	22101	9653
1392	22117	9637
1393	22131	9621
1394	22148	9605
1395	22163	9589
1396	22177	9572
1397	22193	9556
1398	22208	9540
1399	22224	9524
1400	22238	9508
1401	22255	9492
1402	22270	9476
1403	22287	9461
1404	22303	9445
1405	22317	9428
1406	22333	9412
1407	22348	9396
1408	22363	9380
1409	22379	9364
1410	22395	9348
1411	22410	9332
1412	22426	9316
1413	22440	9300
1414	22454	9283
1415	22470	9267
1416	22485	9251
1417	22502	9235
1418	22518	9220
1419	22534	9204
1420	22548	9187
1421	22564	9171
1422	22580	9156
1423	22596	9139
1424	22612	9124
1425	22627	9108
1426	22642	9092
1427	22657	9075
1428	22673	9059
1429	22688	9043
1430	22705	9028
1431	22720	9012
1432	22735	8995
1433	22750	8979
1434	22766	8963
1435	22782	8948
1436	22798	8932
1437	22813	8915
1438	22827	8899
1439	22841	8882
1440	22856	8866
1441	22873	8851
1442	22889	8835
1443	22906	8819
1444	22920	8803
1445	22936	8787
1446	22951	8771
1447	22967	8755
1448	22983	8739
1449	22999	8723
1450	23015	8708
1451	23030	8691
1452	23047	8676
1453	23062	8660
1454	23076	8643
1455	23092	8628
1456	23107	8611
1457	23121	8595
1458	23136	8579
1459	23152	8563
1460	23167	8547
1461	23183	8531
1462	23199	8515
1463	23214	8499
1464	23230	8483
1465	23246	8467
1466	23262	8451
1467	23278	8436
1468	23296	8420
1469	23311	8404
1470	23327	8389
1471	23343	8373
1472	23358	8357
1473	23374	8341
1474	23388	8324
1475	23403	8308
1476	23418	8292
1477	23434	8276
1478	23449	8260
1479	23464	8244
1480	23480	8228
1481	23496	8212
1482	23512	8196
1483	23527	8180
1484	23543	8164
1485	23558	8148
1486	23574	8132
1487	23589	8116
1488	23604	8100
1489	23618	8084
1490	23633	8068
1491	23650	8052
1492	23664	8036
1493	23680	8020
1494	23694	8003
1495	23710	7988
1496	23725	7971
1497	23740	7955
1498	23756	7939
1499	23773	7924
1500	23788	7908
1501	23802	7891
1502	23817	7875
1503	23831	7859
1504	23848	7843
1505	23865	7828
1506	23880	7812
1507	23897	7796
1508	23913	7781
1509	23929	7765
1510	23944	7749
1511	23960	7733
1512	23976	7717
1513	23990	7701
1514	24005	7684
1515	24020	7668
1516	24036	7652
1517	24051	7636
1518	24067	7620
1519	24082	7604
1520	24098	7589
1521	24115	7573
1522	24133	7558
